model,threshold,TN,FP,FN,TP,accuracy_score,recall_score,precision_score,f1_score,roc_auc_score
y_pred_random_forest,0.5,5519,2360,2832,5047,0.6705,0.6406,0.6814,0.6603,0.7383
y_pred_logistic,0.5,5425,2454,3600,4279,0.6158,0.5431,0.6355,0.5857,0.6657
